BE_00046;1340;OTTIGNIES;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;50.66535, 4.56679;Ottignies;OTTIGNIES-LOUVAIN-LA-NEUVE
BE_00047;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;50.66714, 4.55023;OTTIGNIES-LOUVAIN-LA-NEUVE;OTTIGNIES-LOUVAIN-LA-NEUVE
BE_00048;1341;CÉROUX-MOUSTY;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;50.66089, 4.5207;Céroux-Mousty;OTTIGNIES-LOUVAIN-LA-NEUVE
BE_00049;1342;LIMELETTE;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;50.68428, 4.57186;Limelette;OTTIGNIES-LOUVAIN-LA-NEUVE
BE_00050;1348;LOUVAIN-LA-NEUVE;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;50.66829, 4.61443;Louvain-La-Neuve;OTTIGNIES-LOUVAIN-LA-NEUVE
BE_00051;1350;ÉNINES;ORP-JAUCHE;Brabant Wallon;50.69428, 4.92685;Énines;ORP-JAUCHE
BE_00052;1350;FOLX-LES-CAVES;ORP-JAUCHE;Brabant Wallon;50.66118, 4.93783;Folx-Les-Caves;ORP-JAUCHE
BE_00053;1350;JANDRAIN-JANDRENOUILLE;ORP-JAUCHE;Brabant Wallon;50.67177, 4.97801;Jandrain-Jandrenouille;ORP-JAUCHE
BE_00054;1350;JAUCHE;ORP-JAUCHE;Brabant Wallon;50.68136, 4.95563;Jauche;ORP-JAUCHE
BE_00055;1350;MARILLES;ORP-JAUCHE;Brabant Wallon;50.70717, 4.95274;Marilles;ORP-JAUCHE
BE_00056;1350;NODUWEZ;ORP-JAUCHE;Brabant Wallon;50.72863, 4.96779;Noduwez;ORP-JAUCHE
BE_00057;1350;ORP-JAUCHE;ORP-JAUCHE;Brabant Wallon;50.6839, 4.94934;ORP-JAUCHE;ORP-JAUCHE
BE_00058;1350;ORP-LE-GRAND;ORP-JAUCHE;Brabant Wallon;50.70331, 4.9891;Orp-Le-Grand;ORP-JAUCHE
BE_00059;1357;HÉLÉCINE;HÉLÉCINE;Brabant Wallon;50.75028, 4.98346;HÉLÉCINE;HÉLÉCINE
BE_00060;1357;LINSMEAU;HÉLÉCINE;Brabant Wallon;50.73562, 4.99977;Linsmeau;HÉLÉCINE
BE_00061;1357;NEERHEYLISSEM;HÉLÉCINE;Brabant Wallon;50.75839, 4.9883;Neerheylissem;HÉLÉCINE
BE_00062;1357;OPHEYLISSEM;HÉLÉCINE;Brabant Wallon;50.7471, 4.97689;Opheylissem;HÉLÉCINE
BE_00063;1360;MALÈVES-SAINTE-MARIE-WASTINES;PERWEZ;Brabant Wallon;50.65736, 4.77998;Malèves-Sainte-Marie-Wastines;PERWEZ
BE_00064;1360;ORBAIS;PERWEZ;Brabant Wallon;50.63798, 4.76352;Orbais;PERWEZ
BE_00065;1360;PERWEZ;PERWEZ;Brabant Wallon;50.62426, 4.81354;PERWEZ;PERWEZ
BE_00066;1360;THOREMBAIS-LES-BÉGUINES;PERWEZ;Brabant Wallon;50.65819, 4.81755;Thorembais-Les-Béguines;PERWEZ
BE_00067;1360;THOREMBAIS-SAINT-TROND;PERWEZ;Brabant Wallon;50.63485, 4.78406;Thorembais-Saint-Trond;PERWEZ
BE_00068;1367;AUTRE-ÉGLISE;RAMILLIES;Brabant Wallon;50.66921, 4.90381;Autre-Église;RAMILLIES
BE_00069;1367;BOMAL;RAMILLIES;Brabant Wallon;50.67005, 4.87319;Bomal;RAMILLIES
BE_00070;1367;GEEST-GÉROMPONT-PETIT-ROSIÈRE;RAMILLIES;Brabant Wallon;50.64043, 4.8587;Geest-Gérompont-Petit-Rosière;RAMILLIES
BE_00071;1367;GÉROMPONT;RAMILLIES;Brabant Wallon;50.6481, 4.88145;Gérompont;RAMILLIES
BE_00072;1367;GRAND-ROSIÈRE-HOTTOMONT;RAMILLIES;Brabant Wallon;50.63193, 4.86557;Grand-Rosière-Hottomont;RAMILLIES
BE_00073;1367;HUPPAYE;RAMILLIES;Brabant Wallon;50.69363, 4.89415;Huppaye;RAMILLIES
BE_00074;1367;MONT-SAINT-ANDRÉ;RAMILLIES;Brabant Wallon;50.65632, 4.86609;Mont-Saint-André;RAMILLIES
BE_00075;1367;RAMILLIES;RAMILLIES;Brabant Wallon;50.63395, 4.90119;RAMILLIES;RAMILLIES
BE_00076;1370;DONGELBERG;JODOIGNE;Brabant Wallon;50.70342, 4.81995;Dongelberg;JODOIGNE
BE_00077;1370;JAUCHELETTE;JODOIGNE;Brabant Wallon;50.6867, 4.84364;Jauchelette;JODOIGNE
BE_00078;1370;JODOIGNE;JODOIGNE;Brabant Wallon;50.72357, 4.86914;JODOIGNE;JODOIGNE
BE_00079;1370;JODOIGNE-SOUVERAINE;JODOIGNE;Brabant Wallon;50.7094, 4.83759;Jodoigne-Souveraine;JODOIGNE
BE_00080;1370;LATHUY;JODOIGNE;Brabant Wallon;50.72461, 4.82617;Lathuy;JODOIGNE
BE_00081;1370;MÉLIN;JODOIGNE;Brabant Wallon;50.74004, 4.82883;Mélin;JODOIGNE
BE_00082;1370;PIÉTRAIN;JODOIGNE;Brabant Wallon;50.72532, 4.92033;Piétrain;JODOIGNE
BE_00083;1370;SAINT-JEAN-GEEST;JODOIGNE;Brabant Wallon;50.74015, 4.89647;Saint-Jean-Geest;JODOIGNE
BE_00084;1370;SAINT-REMY-GEEST;JODOIGNE;Brabant Wallon;50.74692, 4.85845;Saint-Remy-Geest;JODOIGNE
BE_00085;1370;ZÉTRUD-LUMAY;JODOIGNE;Brabant Wallon;50.75715, 4.88711;Zétrud-Lumay;JODOIGNE
BE_00086;1380;COUTURE-SAINT-GERMAIN;LASNE;Brabant Wallon;50.67484, 4.47255;Couture-Saint-Germain;LASNE
BE_00087;1380;LASNE;LASNE;Brabant Wallon;50.68749, 4.48156;LASNE;LASNE
BE_00088;1380;LASNE-CHAPELLE-SAINT-LAMBERT;LASNE;Brabant Wallon;50.69298, 4.50105;Lasne-Chapelle-Saint-Lambert;LASNE
BE_00089;1380;MARANSART;LASNE;Brabant Wallon;50.65969, 4.46689;Maransart;LASNE
BE_00090;1380;OHAIN;LASNE;Brabant Wallon;50.69885, 4.4698;Ohain;LASNE
BE_00091;1380;PLANCENOIT;LASNE;Brabant Wallon;50.66228, 4.42835;Plancenoit;LASNE
BE_00092;1390;ARCHENNES;GREZ-DOICEAU;Brabant Wallon;50.75261, 4.66962;Archennes;GREZ-DOICEAU
BE_00093;1390;BIEZ;GREZ-DOICEAU;Brabant Wallon;50.72369, 4.71356;Biez;GREZ-DOICEAU
BE_00094;1390;BOSSUT-GOTTECHAIN;GREZ-DOICEAU;Brabant Wallon;50.75823, 4.69511;Bossut-Gottechain;GREZ-DOICEAU
BE_00095;1390;GREZ-DOICEAU;GREZ-DOICEAU;Brabant Wallon;50.73901, 4.69829;GREZ-DOICEAU;GREZ-DOICEAU
BE_00096;1390;NETHEN;GREZ-DOICEAU;Brabant Wallon;50.7832, 4.67503;Nethen;GREZ-DOICEAU
BE_00097;1400;MONSTREUX;NIVELLES;Brabant Wallon;50.59816, 4.2894;Monstreux;NIVELLES
BE_00098;1400;NIVELLES;NIVELLES;Brabant Wallon;50.59833, 4.32848;NIVELLES;NIVELLES
BE_00099;1401;BAULERS;NIVELLES;Brabant Wallon;50.61331, 4.35282;Baulers;NIVELLES
BE_00100;1402;THINES;NIVELLES;Brabant Wallon;50.59675, 4.36895;Thines;NIVELLES
BE_00101;1404;BORNIVAL;NIVELLES;Brabant Wallon;50.6019, 4.27651;Bornival;NIVELLES
BE_00102;1410;WATERLOO;WATERLOO;Brabant Wallon;50.71469, 4.3991;WATERLOO;WATERLOO
BE_00103;1420;BRAINE-L'ALLEUD;BRAINE-L'ALLEUD;Brabant Wallon;50.68363, 4.36784;BRAINE-L'ALLEUD;BRAINE-L'ALLEUD
BE_00104;1421;OPHAIN-BOIS-SEIGNEUR-ISAAC;BRAINE-L'ALLEUD;Brabant Wallon;50.66646, 4.34865;Ophain-Bois-Seigneur-Isaac;BRAINE-L'ALLEUD
BE_00105;1428;LILLOIS-WITTERZÉE;BRAINE-L'ALLEUD;Brabant Wallon;50.64549, 4.36681;Lillois-Witterzée;BRAINE-L'ALLEUD
BE_00106;1430;BIERGHES;REBECQ;Brabant Wallon;50.69578, 4.1192;Bierghes;REBECQ
BE_00107;1430;QUENAST;REBECQ;Brabant Wallon;50.66959, 4.15661;Quenast;REBECQ
BE_00108;1430;REBECQ;REBECQ;Brabant Wallon;50.66597, 4.13202;REBECQ;REBECQ
BE_00109;1430;REBECQ-ROGNON;REBECQ;Brabant Wallon;50.65147, 4.10683;Rebecq-Rognon;REBECQ
BE_00110;1435;CORBAIS;MONT-SAINT-GUIBERT;Brabant Wallon;50.64609, 4.65589;Corbais;MONT-SAINT-GUIBERT
BE_00111;1435;HÉVILLERS;MONT-SAINT-GUIBERT;Brabant Wallon;50.62328, 4.61735;Hévillers;MONT-SAINT-GUIBERT
BE_00112;1435;MONT-SAINT-GUIBERT;MONT-SAINT-GUIBERT;Brabant Wallon;50.63427, 4.61061;MONT-SAINT-GUIBERT;MONT-SAINT-GUIBERT
BE_00113;1440;BRAINE-LE-CHÂTEAU;BRAINE-LE-CHÂTEAU;Brabant Wallon;50.6799, 4.27385;BRAINE-LE-CHÂTEAU;BRAINE-LE-CHÂTEAU
BE_00114;1440;WAUTHIER-BRAINE;BRAINE-LE-CHÂTEAU;Brabant Wallon;50.68183, 4.29849;Wauthier-Braine;BRAINE-LE-CHÂTEAU
BE_00115;1450;CHASTRE;CHASTRE;Brabant Wallon;50.60067, 4.634;CHASTRE;CHASTRE
BE_00116;1450;CHASTRE-VILLEROUX-BLANMONT;CHASTRE;Brabant Wallon;50.60857, 4.64198;Chastre-Villeroux-Blanmont;CHASTRE
BE_00117;1450;CORTIL-NOIRMONT;CHASTRE;Brabant Wallon;50.58111, 4.64344;Cortil-Noirmont;CHASTRE
BE_00118;1450;GENTINNES;CHASTRE;Brabant Wallon;50.57839, 4.60705;Gentinnes;CHASTRE
BE_00119;1450;SAINT-GÉRY;CHASTRE;Brabant Wallon;50.58127, 4.61357;Saint-Géry;CHASTRE
BE_00120;1457;NIL-SAINT-VINCENT-SAINT-MARTIN;WALHAIN;Brabant Wallon;50.64331, 4.68172;Nil-Saint-Vincent-Saint-Martin;WALHAIN
BE_00121;1457;TOURINNES-SAINT-LAMBERT;WALHAIN;Brabant Wallon;50.64021, 4.72361;Tourinnes-Saint-Lambert;WALHAIN
BE_00122;1457;WALHAIN;WALHAIN;Brabant Wallon;50.6168, 4.69477;WALHAIN;WALHAIN
BE_00123;1457;WALHAIN-SAINT-PAUL;WALHAIN;Brabant Wallon;50.62627, 4.69837;Walhain-Saint-Paul;WALHAIN
BE_00124;1460;ITTRE;ITTRE;Brabant Wallon;50.64396, 4.26476;ITTRE;ITTRE
