tecdoc_ktypnr;tecdoc_constr;tecdoc_constrcode;tecdoc_model1;tecdoc_modelcode;tecdoc_cyl;tecdoc_litr;tecdoc_ccmtech;tecdoc_moisdseb;tecdoc_anneedeb;tecdoc_moisfin;tecdoc_anneefin;tecdoc_andeb;tecdoc_anfin;tecdoc_kw;tecdoc_cv;tecdoc_carross;tecdoc_propulsion;tecdoc_energie;tecdoc_codemoteur;tecdoc_nbcyl;tecdoc_nbsoup
78;MINELLI;1522;TF;8997;1800;1.8;1796;01;1998;-;-;01/1998;-;86;117;Décapotable;Propulsion;Essence;18 K4F;4;4
79;SAAB;99;9-5;8645;2.0 TTiD XWD;2;1956;05;2010;01;2012;05/2010;01/2012;140;190;A trois volumes;Traction intégrale;Diesel;A 20 DTR;4;4
80;STANGUELLINI;2810;750;8999;CORSA;0.7;741;01;1955;12;1955;01/1955;12/1955;59;80;Décapotable;Propulsion;Essence;CO;4;2
81;ALFA ROMEO;2;ALFASUD Sprint;329;1.3;1.3;1277;09;1976;12;1981;09/1976;12/1981;55;76;Coupé;Traction avant;Essence;AR 30184;4;2
82;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;05;1978;02;1980;05/1978;02/1980;55;76;Coupé;Traction avant;Essence;AR 30164;4;2
83;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;07;1979;12;1989;07/1979;12/1989;63;85;Coupé;Traction avant;Essence;AR 30168;4;2
84;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;05;1978;12;1981;05/1978;12/1981;61;83;Coupé;Traction avant;Essence;AR 30124;4;2
85;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;07;1979;01;1987;07/1979;01/1987;70;95;Coupé;Traction avant;Essence;AR 30128;4;2
86;ALFA ROMEO;2;ALFASUD Sprint;329;1.7 i.e.;1.7;1712;10;1987;12;1989;10/1987;12/1989;77;105;Coupé;Traction avant;Essence;AR 30558;4;2
87;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;03;1982;12;1988;03/1982;12/1988;77;105;Coupé;Traction avant;Essence;AR 30146;4;2
88;ALFA ROMEO;2;33;291;1.2;1.2;1178;06;1983;12;1989;06/1983;12/1989;50;68;3/5 portes;Traction avant;Essence;AR 30585;4;2
89;ALFA ROMEO;2;33;291;1.3;1.3;1337;06;1983;12;1989;06/1983;12/1989;55;75;3/5 portes;Traction avant;Essence;AR 30586,AR 30502;4;2
90;ALFA ROMEO;2;33;291;1.3;1.3;1337;10;1984;12;1989;10/1984;12/1989;63;86;3/5 portes;Traction avant;Essence;AR 30587,AR 30168;4;2
91;ALFA ROMEO;2;33;291;1.5;1.5;1474;05;1983;12;1987;05/1983;12/1987;62;84;3/5 portes;Traction avant;Essence;AR 30143,AR 30504;4;2
92;STANGUELLINI;2810;FORMULA;9000;JUNIOR;1.1;1089;01;1958;12;1968;01/1958;12/1968;58;79;Décapotable;Propulsion;Essence;101A000;4;2
93;ALFA ROMEO;2;33;291;1.5;1.5;1474;07;1986;12;1989;07/1986;12/1989;75;102;3/5 portes;Traction avant;Essence;AR 30588;4;2
94;ALFA ROMEO;2;33;291;1.5 QV;1.5;1474;06;1984;12;1989;06/1984;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30146,AR 30588,AR 30508;4;2
95;ALFA ROMEO;2;33;291;1.7 i.e.;1.7;1700;09;1988;12;1989;09/1988;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30558;4;2
96;ALFA ROMEO;2;33;291;1.7 QV;1.7;1700;03;1988;12;1989;03/1988;12/1989;84;114;3/5 portes;Traction avant;Essence;AR 30550;4;2
97;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;09;1984;12;1986;09/1984;12/1986;66;90;Break;Traction intégrale;Essence;AR 30520;4;2
98;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;12;1989;12/1986;12/1989;75;102;Break;Traction intégrale;Essence;AR 30588;4;2
99;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;03;1989;12/1986;03/1989;77;105;Break;Traction intégrale;Essence;AR 30146,AR 30588,AR 30508;4;2
